tier,shots,projection_condition,n_fixed_cases,across_case_median_median_self_disagreement_from_exact,across_case_min_median_self_disagreement_from_exact,across_case_max_median_self_disagreement_from_exact,across_case_median_median_shot_accuracy_upper,across_case_min_median_shot_accuracy_upper,across_case_max_median_shot_accuracy_upper,across_case_median_median_accuracy_upper_change,across_case_min_median_accuracy_upper_change,across_case_max_median_accuracy_upper_change,across_case_median_median_realized_accuracy_advantage_change,across_case_min_median_realized_accuracy_advantage_change,across_case_max_median_realized_accuracy_advantage_change,across_case_median_median_realized_bacc_advantage_change,across_case_min_median_realized_bacc_advantage_change,across_case_max_median_realized_bacc_advantage_change
full_115,128,independent_square_psd,8,0.07200000000000001,0.006,0.13,0.04,0.006,0.09,0.009000000000000001,-0.008,0.039999999999999994,-0.0005000000000000004,-0.028000000000000025,0.01200000000000001,-0.0005322112232435394,-0.025210758731433136,0.013111552254098324
full_115,128,nystrom_psd,8,0.07150000000000001,0.004,0.134,0.031,0.006,0.082,0.0029999999999999975,-0.013999999999999999,0.032,-0.0010000000000000009,-0.026000000000000023,0.013000000000000012,-0.0009760624679979735,-0.022721798474508226,0.01404008709016391
full_115,128,pre_psd,8,0.07400000000000001,0.004,0.131,0.034,0.006,0.088,0.005,-0.010000000000000002,0.03799999999999999,-0.004500000000000004,-0.051999999999999935,0.013000000000000012,-0.004400275472056903,-0.05625000000000002,0.013703893442622905
full_115,512,independent_square_psd,8,0.069,0.004,0.185,0.027999999999999997,0.004,0.162,0.004,-0.016,0.10800000000000001,-0.0040000000000000036,-0.028000000000000025,0.0040000000000000036,-0.005085842265657836,-0.02806416495901637,0.004064260112647211
full_115,512,nystrom_psd,8,0.07,0.002,0.139,0.027999999999999997,0.004,0.097,0.003,-0.016,0.043000000000000003,-0.0025000000000000022,-0.028000000000000025,0.0050000000000000044,-0.0026495425215410373,-0.02388598956242477,0.0048347848360655865
full_115,512,pre_psd,8,0.067,0.005,0.13,0.027999999999999997,0.005,0.08,-0.0005000000000000017,-0.016,0.03,-0.0010000000000000009,-0.026000000000000023,0.018000000000000016,-0.0009120522257691499,-0.022601364913689248,0.019163037909836034
full_115,2048,independent_square_psd,8,0.07400000000000001,0.0,0.129,0.027,0.002,0.098,0.001,-0.016,0.048,-0.004500000000000004,-0.026000000000000023,0.0040000000000000036,-0.0051978657655528115,-0.02384584504215176,0.004064260112647267
full_115,2048,nystrom_psd,8,0.063,0.0,0.106,0.027,0.002,0.064,0.0,-0.016,0.011999999999999997,0.0,-0.026000000000000023,0.009000000000000008,0.0,-0.022521075873143337,0.00931736680327866
full_115,2048,pre_psd,8,0.069,0.002,0.122,0.026000000000000002,0.002,0.078,0.001,-0.018,0.024999999999999994,-0.0005000000000000004,-0.026000000000000023,0.0050000000000000044,-0.00047612188720311255,-0.022240064231232426,0.005459144467213128
full_115,8192,independent_square_psd,8,0.052000000000000005,0.0,0.088,0.026,0.002,0.057,0.0,-0.016,0.023,0.0,-0.015000000000000013,0.014000000000000012,0.0,-0.014884238147810314,0.0143442622950819
full_115,8192,nystrom_psd,8,0.0435,0.0,0.089,0.0255,0.002,0.043,-0.0035000000000000014,-0.017,0.006999999999999999,0.0,-0.016000000000000014,0.016000000000000014,0.0,-0.01582425318805092,0.016201331967213073
full_115,8192,pre_psd,8,0.0505,0.0,0.092,0.0245,0.002,0.051000000000000004,0.0,-0.018,0.015,0.0,-0.016000000000000014,0.01200000000000001,0.0,-0.01582425318805092,0.011430584016393408
