setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,gpc,0.9847534546799424,0.010261847740895318,0.9854876594175578,15,0.9912039785649496,5,0.9920373118982829,zz_r1_full__gpc__d8,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,0.9751149478196953,0.016413845970955483,0.9873838881607048,15,0.9900516011414432,5,0.9924488345320277,zz_r1_full__as0.5__svc__d10,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,gpc,0.9883599028146666,0.005460445881600952,0.9830548822223579,15,0.9913674413419878,5,0.9927537999934032,zz_r1_full__as2__gpc__d12,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,0.9636009966478728,0.014438533326129226,0.9839753560396545,15,0.9915359529936426,5,0.9929478604483962,zz_r1_full__as0.5__svc__d10,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,gpc,0.9789993953173481,0.01912454119932218,0.9865514838700195,15,0.9914562176352189,5,0.9921098124064606,zz_r1_full__as2__gpc__d12,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,0.9213645638643582,0.03441691517680058,0.9877963407733784,15,0.9892786203826887,5,0.9917609881929156,pauli_xz_r1_full__as2__svc__d10,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,gpc,0.980105903483966,0.008969734731592837,0.9869603247732089,15,0.9886015487130845,5,0.9898395317399103,zz_r1_full__gpc__d8,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,0.9428630426263991,0.041457556282607465,0.9875576051951291,15,0.9882680629550012,5,0.9895128762330095,zz_r1_full__as0.5__svc__d8,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,gpc,0.9851398769736855,0.002247825974753774,0.9858653902984622,15,0.9869837339326752,5,0.990565280068564,zz_r1_full__gpc__d10,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,0.9669238906747322,0.01688251792546139,0.9862419092904077,15,0.9895636438326129,5,0.9911562808874348,zz_r1_full__as2__svc__d12,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,gpc,0.9808813423420373,0.01572505896792186,0.9837931703414834,15,0.9914465433106306,5,0.991893470684932,zz_r1_full__gpc__d12,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,0.9288531097906293,0.04327473888041672,0.9867582050581933,15,0.9900017482785446,5,0.9905499938925797,zmap_r2__svc__d12,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,gpc,0.9809701905705321,0.012971136451195823,0.9792142499289477,15,0.9748386972208103,5,0.9809246437756352,zz_r1_full__as0.5__gpc__d10,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,0.9547602869403572,0.019700378223170476,0.983229919729659,15,0.9771043276638574,5,0.985427641599637,zmap_r2__svc__d12,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,gpc,0.9779723532027375,0.014606916031703573,0.9874603103591196,15,0.993125213990985,5,0.9931252139909849,zz_r1_full__as0.5__gpc__d10,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,0.9702554384029881,0.02443226238486703,0.9892483309814359,15,0.9832053480961835,5,0.9913060761708634,zmap_r2__svc__d10,quantum,60,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,gpc,0.9778165115077994,0.010566554484340376,0.9862044148992345,15,0.9923535734519152,5,0.9927747871741024,zz_r1_full__as0.5__gpc__d10,quantum,60,toniot_scanning_natural_cur
