family,model,dim,cfg,kernel,split,regularization,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,feature_policy,n_input_features,n_retained_features,n_removed_features,removed_features,id_split_hash_salt
classical_ext,svc,4,linear__svc__d4,linear,id_val,fixed_c1,1.0,,0.006489753723144531,0.8685258964143426,0.8587487153134635,0.8639566395663956,0.8888888888888888,0.9419964028776978,0.9468270690043744,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_test,fixed_c1,1.0,,0.006489753723144531,0.9036144578313253,0.8971797884841364,0.9011904761904761,0.9166666666666666,0.9648126387256821,0.965841464513949,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,ood_test,fixed_c1,1.0,,0.006489753723144531,0.592,0.5924076563600282,0.5918955252544651,0.5984251968503937,0.7266180142116383,0.706163713856083,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,fixed_c1,1.0,,0.006999015808105469,0.9442231075697212,0.9383671634121274,0.942843201040989,0.9517241379310345,0.9547790339157246,0.9532144876422837,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,fixed_c1,1.0,,0.006999015808105469,0.9598393574297188,0.9558362710536623,0.9590298802158748,0.9647887323943662,0.9681420550985769,0.9469318889771299,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,fixed_c1,1.0,,0.006999015808105469,0.622,0.622063248191537,0.6219863915100943,0.6197183098591549,0.8351738044939505,0.845551674770044,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,fixed_c1,1.0,,0.005993843078613281,0.9402390438247012,0.9347700411099691,0.9388371753009406,0.9480968858131488,0.9357656731757451,0.9315182664462085,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,fixed_c1,1.0,,0.005993843078613281,0.9598393574297188,0.9558362710536623,0.9590298802158748,0.9647887323943662,0.9632458545502024,0.9602374895268501,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,fixed_c1,1.0,,0.005993843078613281,0.612,0.6121567121183022,0.612,0.612,0.7203284040714423,0.7074632931278662,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,fixed_c1,1.0,,0.0065157413482666016,0.9442231075697212,0.9383671634121274,0.942843201040989,0.9517241379310345,0.9443730729701953,0.9434009565142378,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,fixed_c1,1.0,,0.0065157413482666016,0.9558232931726908,0.9513317665491579,0.9548801581418335,0.9614035087719298,0.9646167907037473,0.9624425747878496,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,fixed_c1,1.0,,0.0065157413482666016,0.618,0.6179982075411306,0.617961796179618,0.6141414141414141,0.7600505729466744,0.7464880966865308,full_v4_features,88,88,0,,ksf-v4-idsplit::
