case,group,model,quantum_stratum,tier,threshold,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,svc,product_map,customary_30,0.01,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,svc,product_map,customary_30,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,svc,product_map,full_115,0.005,200,200,1.0,3.0,2.0,4.0,2,4,2.0,2.0,2.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,svc,product_map,full_115,0.01,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,svc,product_map,full_115,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,svc,entangling_zz,customary_30,0.005,200,200,1.0,13.0,11.0,15.0,10,15,10.0,10.0,10.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,svc,entangling_zz,customary_30,0.01,200,200,1.0,12.0,9.0,14.0,9,14,9.0,9.0,9.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,svc,entangling_zz,customary_30,0.02,200,200,1.0,8.0,6.0,10.0,6,11,6.0,6.0,6.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,svc,entangling_zz,full_115,0.005,200,200,1.0,11.0,8.975000000000001,13.0,8,13,8.0,8.0,8.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,svc,entangling_zz,full_115,0.01,200,200,1.0,8.0,6.0,11.0,6,11,6.0,6.0,6.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,svc,entangling_zz,full_115,0.02,200,200,1.0,5.0,4.0,8.0,4,9,4.0,4.0,4.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,svc,entangling_zz,customary_30,0.005,200,200,1.0,19.0,15.0,22.0,14,22,13.0,13.0,13.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,svc,entangling_zz,customary_30,0.01,200,200,1.0,16.0,13.0,20.0,11,20,11.0,11.0,11.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,svc,entangling_zz,customary_30,0.02,200,200,1.0,13.0,10.0,17.0,9,17,9.0,9.0,9.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,svc,entangling_zz,full_115,0.005,200,200,1.0,16.0,12.975000000000001,18.0,12,18,11.0,11.0,11.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,svc,entangling_zz,full_115,0.01,200,200,1.0,13.0,10.0,16.0,9,16,9.0,9.0,9.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,svc,entangling_zz,full_115,0.02,200,200,1.0,10.0,8.0,13.0,7,13,7.0,7.0,7.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,svc,entangling_zz,customary_30,0.005,200,200,1.0,16.0,12.0,18.0,10,18,9.0,9.0,9.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,svc,entangling_zz,customary_30,0.01,200,200,1.0,14.0,10.0,17.0,9,17,8.0,8.0,8.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,svc,entangling_zz,customary_30,0.02,200,200,1.0,9.0,5.0,13.0,5,14,5.0,5.0,5.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,svc,entangling_zz,full_115,0.005,200,200,1.0,34.0,33.0,35.0,33,35,14.0,14.0,14.0,0.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,svc,entangling_zz,full_115,0.01,200,200,1.0,28.0,26.0,29.0,26,29,9.0,9.0,9.0,0.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,svc,entangling_zz,full_115,0.02,200,200,1.0,12.0,6.0,16.0,4,16,4.0,4.0,4.0,1.0,1.0,1.0,1.0
