status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,draw,threshold,n_labels,n_informative_counterexamples
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,0,0.005,25,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,0,0.01,22,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,0,0.02,19,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,1,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,1,0.01,23,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,1,0.02,19,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,2,0.005,23,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,2,0.01,19,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,2,0.02,15,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,3,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,3,0.01,22,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,3,0.02,20,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,4,0.005,22,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,4,0.01,18,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,4,0.02,14,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,5,0.005,24,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,5,0.01,22,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,5,0.02,19,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,6,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,6,0.01,23,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,6,0.02,20,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,7,0.005,25,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,7,0.01,22,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,7,0.02,16,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,8,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,8,0.01,19,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,8,0.02,15,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,9,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,9,0.01,19,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,9,0.02,16,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,random_active_disagreement,10,0.005,23,13
