setting,qs,seed,dim,svc_c,rho_vs_C1,n_kernels
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,6,10.0,0.17857142857142855,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,6,100.0,-0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,8,0.01,0.7487048859271455,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,8,0.1,0.7748062179181806,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,8,10.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,8,100.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,10,0.01,0.896421457000795,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,10,0.1,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,10,10.0,0.07142857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,10,100.0,0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,12,0.01,0.896421457000795,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,12,0.1,0.8928571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,12,10.0,0.4999999999999999,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,12,100.0,-0.6785714285714284,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,4,0.01,0.8747670497362986,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,4,0.1,0.6666937223947136,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,4,10.0,0.7748062179181806,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,4,100.0,0.6306562238868911,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,6,0.01,-0.33864810597807815,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,6,0.1,-0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,6,10.0,0.17857142857142855,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,6,100.0,-0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,8,0.01,0.7487048859271455,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,8,0.1,0.7748062179181806,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,8,10.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,8,100.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,10,0.01,0.896421457000795,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,10,0.1,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,10,10.0,0.07142857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,10,100.0,0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,12,0.01,0.896421457000795,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,12,0.1,0.8928571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,12,10.0,0.4999999999999999,7
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,12,100.0,-0.6785714285714284,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,4,0.01,0.7881104062391006,7
